premise,hypothesis,label
A person on a horse jumps over a broken down airplane.,A person is training his horse for a competition.,1
A white bike is tied to a street sign.,the car is parked at the sign,2
Two women are walking down a dirt path carrying loads on their heads.,Two beautiful women wearing white are walking down a dirt path carrying loads of nuts on their heads.,1
A young man wearing a backpack and dark glasses approaches the brick building where there is a bit of graffiti on the wall.,The young man has glasses on his face.,0
"a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.",a lady walks past a large painting outside,0
Black and White Team rugby players are struggling over the ball in front of a white wall that has blue writing.,The words on the wall are wrote in blue.,0
"A man plays the piano, while a second man plays a guitar and a third man plays the saxophone.",Three men are in a garage working under the hood of an old car.,2
A group of people enjoying a hot air balloon ride.,A group of dogs are in a hot air balloon.,2
A gentleman walking in the rain while holding his bagpipes appears to be late for an event of some sort.,A gentleman walking in the rain walking to a funeral.,1
A small white dogs leaps over the back of a larger dog to chase his toy.,The large dog is beneath the small dog.,0
"a group of people, restrained by fencing, wait at the entrance to a tent; there are signs at the entrance that read' tent closed'.",Some people are trying to get into a tent for medical supplies.,1
Two girls in red soccer uniforms running after a soccer ball.,Two girls are playing in the championship soccer gamer.,1
Man wearing black is holding a sword with his arms out.,The man has white robes.,2
"Two motorcycle drivers race around a bend at high speeds wearing highly florescent yellow, blue and green colors.",The drivers are racing,0
A boy is sitting in a chair getting a haircut.,A boy is donating hair to charity.,1
"A person, dressed in green hoodie and shorts, stands in front of a vista of green hills.",A man is running through the city.,2
A dog runs through the tall grass.,A dog runs in the grass.,0
This is a beach scene consisting of a child by the shoreline holding a shovel full of sand and looking out at a group of people in the water.,This is a scene consisting of a child.,0
A man with red pants holding on to a wall trying to make it sown some small rocks.,A man is swimming in the ocean.,2
An African woman dressed in earth tone clothing holds up one of her crutches as other apparently disabled adults look on from behind her.,An African woman is on crutches,0
A rider in a red shirt rides his or her bike next to an outdoor fountain.,The rider in the red shirt is falling off the bike.,2
"A child and a grownup, each wearing hats, play by the ocean.","A child and grown up, wearing hats, play in the field.",2
A child is wearing a white coat while squatting down in front of a person.,A child is running alone outside.,2
Men turn to the camera to smile on the middle of three long tables in a refectory.,The man is smiling.,0
"A man, in a plaid shirt, and a younger boy, in a black jacket, working on something.",A father and son work on a home-renovation project.,1
A child sleeping on a striped pillow.,The child has gone to bed.,0
A barefoot young girl in a pink gown is asleep on a hard wood floor cuddling her baby doll.,The girl is wearing shoes.,2
Female dancer in a green and white dress.,A male dancer in a tuxedo.,2
A bearded man getting shaved in a public auditorium.,The man is getting hair removed.,0
Children playing on a playground sliding down a slide.,Some people are playing outside.,0
The kid is playing hopscotch.,A kid is playing.,0
two people in coats in an ally sitting on a box,They are rolling in the dough on the carpet,2
A man wearing goggles exits a pool by the ladder.,A man was swimming.,1
A pair of people parasailing on a sunny day.,Two people are sunbathing.,2
Two men sitting and smoking cigarettes.,The men are near cigarettes.,0
Woman with a hat on climbing a cliff near a large body of water.,A woman is hiking a cliff.,1
A vendor in Mexico pushes an ice cream cart past an armed security guard in front of a shop.,A man is selling ice cream.,0
A man in black and white shirt is singing with a microphone.,A man is laying down.,2
A boy is holding a reptile with trees in the background.,A child displays his pet reptile.,1
